,Topic,Count,Ratio,Topic Words
0,Topic 0,3,0.03,"['get', 'like', 'fuck', 'bitch', 'shit']"
1,Topic 1,7,0.07,"['night', 'light', 'eye', 'sun', 'fire']"
2,Topic 2,0,0.0,"['watch', 'sound', 'half', 'three', 'mother']"
3,Topic 3,12,0.12,"['head', 'around', 'hand', 'turn', 'put']"
4,Topic 4,6,0.06,"[""ain't"", 'nigga', 'got', 'money', ""that's""]"
5,Topic 5,1,0.01,"['life', 'world', 'dream', 'live', 'without']"
6,Topic 6,3,0.03,"['know', 'say', ""can't"", 'way', 'see']"
7,Topic 7,2,0.02,"['come', ""we're"", 'little', 'tonight', 'man']"
8,Topic 8,0,0.0,"['boy', 'dance', 'song', 'play', 'goodbye']"
9,Topic 9,3,0.03,"['could', 'would', 'said', 'better', 'never']"
10,Topic 10,0,0.0,"['black', 'fly', 'kill', 'white', 'red']"
11,Topic 11,13,0.13,"['let', ""i'll"", 'heart', 'keep', 'hold']"
12,Topic 12,3,0.03,"['like', 'want', 'feel', 'make', 'girl']"
13,Topic 13,3,0.03,"[""i'm"", 'gonna', ""i've"", 'cause', 'going']"
14,Topic 14,36,0.36,"['soul', 'god', 'blood', 'die', 'death']"
15,Topic 15,2,0.02,"['time', 'one', 'day', 'every', 'long']"
16,Topic 16,2,0.02,"['love', 'give', 'need', 'kiss', 'enough']"
17,Topic 17,1,0.01,"['yeah', 'baby', 'got', 'gotta', 'hey']"
18,Topic 18,1,0.01,"['take', 'away', 'run', 'walk', 'far']"
19,Topic 19,2,0.02,"['never', 'wanna', 'home', 'alone', 'gone']"
