Topic,Words
Topic 0,"['get', 'like', 'fuck', 'bitch', 'shit', 'everybody', 'got', 'hit', 'back', 'fucking', 'party', 'high', 'rock', 'damn', ""i'ma"", 'give', 'big', 'cool', 'hot', 'kick']"
Topic 1,"['night', 'light', 'eye', 'sun', 'fire', 'sky', 'see', 'star', 'dark', 'high', 'rain', 'blue', 'cold', 'morning', 'sea', 'moon', 'water', 'wind', 'shine', 'beautiful']"
Topic 2,"['watch', 'sound', 'half', 'three', 'mother', 'four', 'radio', 'ring', 'thank', 'family', 'called', 'five', 'seven', 'hero', 'doo_doo', 'sit', 'six', 'number', 'ten', 'electric']"
Topic 3,"['head', 'around', 'hand', 'turn', 'put', 'face', 'room', 'back', 'house', 'cut', 'bed', 'body', 'foot', 'door', 'wall', 'dead', 'look', 'floor', ""they're"", 'hair']"
Topic 4,"[""ain't"", 'nigga', 'got', 'money', ""that's"", 'keep', 'man', ""goin'"", ""gon'"", 'work', 'mama', ""nothin'"", 'bout', ""lookin'"", ""comin'"", ""gettin'"", 'like', 'daddy', 'cause', 'top']"
Topic 5,"['life', 'world', 'dream', 'live', 'without', 'new', 'sleep', 'living', 'save', 'today', 'wake', 'lonely', 'tomorrow', 'whole', 'dreaming', 'strange', 'found', 'future', 'rest', ""life's""]"
Topic 6,"['know', 'say', ""can't"", 'way', 'see', 'tell', 'thing', 'think', 'cause', 'right', 'get', 'always', ""there's"", 'nothing', 'something', 'everything', 'got', 'look', ""that's"", ""i've""]"
Topic 7,"['come', ""we're"", 'little', 'tonight', 'man', 'back', ""we'll"", ""let's"", 'well', 'old', ""he's"", 'young', 'sing', 'ride', 'town', 'bring', 'city', 'woman', 'pretty', 'big']"
Topic 8,"['boy', 'dance', 'song', 'play', 'goodbye', 'mine', 'beat', 'music', 'friend', 'fine', 'dancing', 'summer', 'singing', 'hear', 'rhythm', 'hello', 'rock_roll', 'band', 'playing', 'melody']"
Topic 9,"['could', 'would', 'said', 'better', 'never', 'thought', ""i'd"", 'maybe', 'please', 'remember', 'still', 'wish', 'ever', 'knew', 'forget', 'used', 'back', 'told', 'made', 'much']"
Topic 10,"['black', 'fly', 'kill', 'white', 'red', 'gun', 'lay', 'people', 'ghost', 'king', 'dog', 'magic', 'shot', 'bone', 'wing', 'queen', 'bullet', 'bird', 'bite', 'animal']"
Topic 11,"['let', ""i'll"", 'heart', 'keep', 'hold', 'inside', 'find', 'fall', 'mind', 'lost', 'break', 'still', 'end', 'waiting', ""can't"", 'left', 'see', 'stand', 'eye', ""i've""]"
Topic 12,"['like', 'want', 'feel', 'make', 'girl', 'good', 'bad', 'real', 'free', 'happy', 'feeling', 'cause', 'doe', 'guy', 'need', 'touch', 'treat', 'really', 'taste', 'whoa_whoa']"
Topic 13,"[""i'm"", 'gonna', ""i've"", 'cause', 'going', 'coming', 'feeling', 'back', 'running', 'ready', 'getting', 'trying', 'looking', 'sorry', 'falling', 'keep', 'giving', 'taking', 'tired', 'get']"
Topic 14,"['soul', 'god', 'blood', 'die', 'death', 'dead', 'fear', 'born', 'war', 'lie', 'must', 'power', 'earth', 'child', 'pain', 'hell', 'end', 'land', 'lord', 'within']"
Topic 15,"['time', 'one', 'day', 'every', 'long', 'stop', 'last', 'cry', 'another', 'wait', 'forever', 'together', 'first', 'miss', 'two', 'many', 'year', 'line', 'next', 'nobody']"
Topic 16,"['love', 'give', 'need', 'kiss', 'enough', 'somebody', 'sweet', 'lover', 'loving', 'touch', 'heart', 'someone', 'true', 'heaven', 'darling', 'little_bit', ""love's"", 'yes', 'show', 'lip']"
Topic 17,"['yeah', 'baby', 'got', 'gotta', 'hey', 'right', 'move', 'crazy', 'let', 'body', 'hey_hey', 'get', 'babe', 'night', 'honey', 'alright', 'whoa', 'know', ""lovin'"", 'woah']"
Topic 18,"['take', 'away', 'run', 'walk', 'far', 'road', 'throw', 'place', 'follow', 'air', 'walking', 'angel', 'somewhere', 'mile', 'lead', 'steal', 'sail', 'everywhere', 'ship', 'wherever']"
Topic 19,"['never', 'wanna', 'home', 'alone', 'gone', 'stay', 'leave', 'call', 'name', 'anymore', 'die', 'phone', ""i'd_rather"", 'another', 'anybody', 'dont', 'cuz', 'back', ""i'll"", 'fight']"
